Date,Hour,Price
2023-08-14T22:00Z,3,92.15
2023-08-14T22:00Z,4,89.96
2023-08-14T22:00Z,5,87.67
2023-08-14T22:00Z,6,90.02
2023-08-14T22:00Z,7,87.56
2023-08-14T22:00Z,8,95.80
2023-08-14T22:00Z,9,109.24
2023-08-14T22:00Z,10,89.69
2023-08-14T22:00Z,11,79.54
2023-08-14T22:00Z,12,72.73
2023-08-14T22:00Z,13,60.46
2023-08-14T22:00Z,14,25.98
2023-08-14T22:00Z,15,23.54
2023-08-14T22:00Z,16,45.85
2023-08-14T22:00Z,17,70.26
2023-08-14T22:00Z,18,82.53
2023-08-14T22:00Z,19,94.09
2023-08-14T22:00Z,20,120.32
2023-08-14T22:00Z,21,130.78
2023-08-14T22:00Z,22,133.04
2023-08-14T22:00Z,23,125.38
2023-08-14T22:00Z,24,107.89
2023-08-17T22:00Z,1,104.04
2023-08-17T22:00Z,2,91.24
2023-08-17T22:00Z,3,97.28
2023-08-17T22:00Z,4,79.07
2023-08-17T22:00Z,5,80.90
2023-08-17T22:00Z,6,87.52
2023-08-17T22:00Z,7,104.72
2023-08-17T22:00Z,8,105.19
2023-08-17T22:00Z,9,113.80
2023-08-17T22:00Z,10,106.83
2023-08-17T22:00Z,11,95.85
2023-08-17T22:00Z,12,89.05
2023-08-17T22:00Z,13,86.28
2023-08-17T22:00Z,14,82.85
2023-08-17T22:00Z,15,84.16
2023-08-17T22:00Z,16,86.72
2023-08-17T22:00Z,17,95.39
2023-08-17T22:00Z,18,108.07
2023-08-17T22:00Z,19,116.15
2023-08-17T22:00Z,20,125.78
2023-08-17T22:00Z,21,132.54
2023-08-17T22:00Z,22,118.69
2023-08-17T22:00Z,23,100.00
2023-08-17T22:00Z,24,89.49
2023-08-18T22:00Z,1,104.04
2023-08-18T22:00Z,2,91.24
2023-08-18T22:00Z,3,97.28
2023-08-18T22:00Z,4,79.07
2023-08-18T22:00Z,5,80.90
2023-08-18T22:00Z,6,87.52
2023-08-18T22:00Z,7,104.72
2023-08-18T22:00Z,8,105.19
2023-08-18T22:00Z,9,113.80
2023-08-18T22:00Z,10,106.83
2023-08-18T22:00Z,11,95.85
2023-08-18T22:00Z,12,89.05
2023-08-18T22:00Z,13,86.28
2023-08-18T22:00Z,14,82.85
2023-08-18T22:00Z,15,84.16
2023-08-18T22:00Z,16,86.72
2023-08-18T22:00Z,17,95.39
2023-08-18T22:00Z,18,108.07
2023-08-18T22:00Z,19,116.15
2023-08-18T22:00Z,20,125.78
2023-08-18T22:00Z,21,132.54
2023-08-18T22:00Z,22,118.69
2023-08-18T22:00Z,23,100.00
2023-08-18T22:00Z,24,89.49
2023-08-19T22:00Z,1,113.99
2023-08-19T22:00Z,2,110.59
2023-08-19T22:00Z,3,105.17
2023-08-19T22:00Z,4,104.97
2023-08-19T22:00Z,5,102.68
2023-08-19T22:00Z,6,104.12
2023-08-19T22:00Z,7,103.95
2023-08-19T22:00Z,8,99.69
2023-08-19T22:00Z,9,98.99
2023-08-19T22:00Z,10,86.62
2023-08-19T22:00Z,11,73.23
2023-08-19T22:00Z,12,44.00
2023-08-19T22:00Z,13,28.27
2023-08-19T22:00Z,14,13.25
2023-08-19T22:00Z,15,13.84
2023-08-19T22:00Z,16,33.81
